"group","participant_id","word_1","response","correct","response_type","valid_status","valid_response","valid_participant"
"spa-ENG","5b1ec77...","arbol","eyeball",FALSE,"wrong","Valid",TRUE,TRUE
"spa-ENG","5b6f4c6...","arbol","hall",FALSE,"wrong","Valid",TRUE,TRUE
"spa-ENG","5d687a7...","arbol","well done",FALSE,"wrong","Valid",TRUE,TRUE
"spa-ENG","5d6c21b...","arbol","harol",FALSE,"language","Insufficient trials",FALSE,FALSE
"spa-ENG","5dae0ea...","arbol","high wall",FALSE,"wrong","Valid",TRUE,TRUE
"spa-ENG","5dd6934...","arbol","ball",FALSE,"wrong","Valid",TRUE,TRUE
"spa-ENG","5e2c9ac...","arbol","narwhal",FALSE,"wrong","Valid",TRUE,TRUE
"spa-ENG","5e32a99...","arbol","horrible",FALSE,"wrong","Language impairment",TRUE,FALSE
"spa-ENG","5e3878b...","arbol","wall",FALSE,"wrong","Valid",TRUE,TRUE
"spa-ENG","5e52fa4...","arbol","harbour",FALSE,"wrong","Valid",TRUE,TRUE
"spa-ENG","5e60db5...","arbol","water",FALSE,"wrong","Valid",TRUE,TRUE
"spa-ENG","5e64212...","arbol","how are you",FALSE,"wrong","Insufficient trials",TRUE,FALSE
"spa-ENG","5e6571b...","arbol","whale",FALSE,"wrong","Valid",TRUE,TRUE
"spa-ENG","5e71e92...","arbol","fireball",FALSE,"wrong","Valid",TRUE,TRUE
"spa-ENG","5e788a0...","arbol","wall",FALSE,"wrong","Valid",TRUE,TRUE
"spa-ENG","5e84efb...","arbol","party",FALSE,"wrong","Valid",TRUE,TRUE
"spa-ENG","5e8f390...","arbol","haribo",FALSE,"wrong","Insufficient trials",TRUE,FALSE
"spa-ENG","5e95bef...","arbol","wall",FALSE,"wrong","Valid",TRUE,TRUE
"spa-ENG","5e96292...","arbol","apple",FALSE,"wrong","Valid",TRUE,TRUE
"spa-ENG","5e9b959...","arbol","come on",FALSE,"wrong","Valid",TRUE,TRUE
"spa-ENG","5e9df7f...","arbol",NA,FALSE,"blank","Insufficient trials",FALSE,FALSE
"spa-ENG","5eacad0...","arbol","hairball",FALSE,"wrong","Valid",TRUE,TRUE
"spa-ENG","5eaeeb1...","arbol","hello",FALSE,"wrong","Valid",TRUE,TRUE
"spa-ENG","5eb2d2d...","arbol","albo",FALSE,"wrong","Insufficient trials",TRUE,FALSE
"spa-ENG","5eb3c2e...","arbol","high wall",FALSE,"wrong","Insufficient trials",TRUE,FALSE
"spa-ENG","5eb450d...","arbol","carboard",FALSE,"wrong",NA,TRUE,NA
"spa-ENG","5eb54aa...","arbol","parvo",FALSE,"language","Valid",FALSE,TRUE
"spa-ENG","5eb9b01...","arbol","car",FALSE,"wrong","Valid",TRUE,TRUE
"spa-ENG","5eb9e95...","arbol","hello",FALSE,"wrong","Insufficient trials",TRUE,FALSE
"spa-ENG","5ebef0e...","arbol","hard",FALSE,"wrong","Valid",TRUE,TRUE
"spa-ENG","5ec27b1...","arbol","handball",FALSE,"wrong","Valid",TRUE,TRUE
"spa-ENG","5ec7e25...","arbol","hardwall",FALSE,"wrong","Valid",TRUE,TRUE
"spa-ENG","5ec83d6...","arbol","goodday",FALSE,"wrong","Valid",TRUE,TRUE
"spa-ENG","5ed8bf9...","arbol","hard wall",FALSE,"wrong","Valid",TRUE,TRUE
"spa-ENG","5ee0c7f...","arbol","football",FALSE,"wrong","Valid",TRUE,TRUE
"spa-ENG","5ee7665...","arbol","are you okay",FALSE,"other","Valid",FALSE,TRUE
"spa-ENG","5b1ec77...","avestruz","straws",FALSE,"wrong","Valid",TRUE,TRUE
"spa-ENG","5b6f4c6...","avestruz","truth",FALSE,"wrong","Valid",TRUE,TRUE
"spa-ENG","5d687a7...","avestruz","throw",FALSE,"wrong","Valid",TRUE,TRUE
"spa-ENG","5d6c21b...","avestruz","abestrolles",FALSE,"language","Insufficient trials",FALSE,FALSE
"spa-ENG","5dae0ea...","avestruz","strudel",FALSE,"wrong","Valid",TRUE,TRUE
"spa-ENG","5dd6934...","avestruz","staws",FALSE,"wrong","Valid",TRUE,TRUE
"spa-ENG","5e2c9ac...","avestruz","speak",FALSE,"wrong","Valid",TRUE,TRUE
