"group","participant_id","word_1","response","correct","response_type","valid_status","valid_response","valid_participant"
"spa-ENG","5b1ec77...","arbol","eyeball",false,"wrong","Valid",true,true
"spa-ENG","5b6f4c6...","arbol","hall",false,"wrong","Valid",true,true
"spa-ENG","5d687a7...","arbol","well done",false,"wrong","Valid",true,true
"spa-ENG","5d6c21b...","arbol","harol",false,"language","Insufficient trials",false,false
"spa-ENG","5dae0ea...","arbol","high wall",false,"wrong","Valid",true,true
"spa-ENG","5dd6934...","arbol","ball",false,"wrong","Valid",true,true
"spa-ENG","5e2c9ac...","arbol","narwhal",false,"wrong","Valid",true,true
"spa-ENG","5e32a99...","arbol","horrible",false,"wrong","Language impairment",true,false
"spa-ENG","5e3878b...","arbol","wall",false,"wrong","Valid",true,true
"spa-ENG","5e52fa4...","arbol","harbour",false,"wrong","Valid",true,true
"spa-ENG","5e60db5...","arbol","water",false,"wrong","Valid",true,true
"spa-ENG","5e64212...","arbol","how are you",false,"wrong","Insufficient trials",true,false
"spa-ENG","5e6571b...","arbol","whale",false,"wrong","Valid",true,true
"spa-ENG","5e71e92...","arbol","fireball",false,"wrong","Valid",true,true
"spa-ENG","5e788a0...","arbol","wall",false,"wrong","Valid",true,true
"spa-ENG","5e84efb...","arbol","party",false,"wrong","Valid",true,true
"spa-ENG","5e8f390...","arbol","haribo",false,"wrong","Insufficient trials",true,false
"spa-ENG","5e95bef...","arbol","wall",false,"wrong","Valid",true,true
"spa-ENG","5e96292...","arbol","apple",false,"wrong","Valid",true,true
"spa-ENG","5e9b959...","arbol","come on",false,"wrong","Valid",true,true
"spa-ENG","5e9df7f...","arbol",,false,"blank","Insufficient trials",false,false
"spa-ENG","5eacad0...","arbol","hairball",false,"wrong","Valid",true,true
"spa-ENG","5eaeeb1...","arbol","hello",false,"wrong","Valid",true,true
"spa-ENG","5eb2d2d...","arbol","albo",false,"wrong","Insufficient trials",true,false
"spa-ENG","5eb3c2e...","arbol","high wall",false,"wrong","Insufficient trials",true,false
"spa-ENG","5eb450d...","arbol","carboard",false,"wrong",,true,
"spa-ENG","5eb54aa...","arbol","parvo",false,"language","Valid",false,true
"spa-ENG","5eb9b01...","arbol","car",false,"wrong","Valid",true,true
"spa-ENG","5eb9e95...","arbol","hello",false,"wrong","Insufficient trials",true,false
"spa-ENG","5ebef0e...","arbol","hard",false,"wrong","Valid",true,true
"spa-ENG","5ec27b1...","arbol","handball",false,"wrong","Valid",true,true
"spa-ENG","5ec7e25...","arbol","hardwall",false,"wrong","Valid",true,true
"spa-ENG","5ec83d6...","arbol","goodday",false,"wrong","Valid",true,true
"spa-ENG","5ed8bf9...","arbol","hard wall",false,"wrong","Valid",true,true
"spa-ENG","5ee0c7f...","arbol","football",false,"wrong","Valid",true,true
"spa-ENG","5ee7665...","arbol","are you okay",false,"other","Valid",false,true
"spa-ENG","5b1ec77...","avestruz","straws",false,"wrong","Valid",true,true
"spa-ENG","5b6f4c6...","avestruz","truth",false,"wrong","Valid",true,true
"spa-ENG","5d687a7...","avestruz","throw",false,"wrong","Valid",true,true
"spa-ENG","5d6c21b...","avestruz","abestrolles",false,"language","Insufficient trials",false,false
"spa-ENG","5dae0ea...","avestruz","strudel",false,"wrong","Valid",true,true
"spa-ENG","5dd6934...","avestruz","staws",false,"wrong","Valid",true,true
"spa-ENG","5e2c9ac...","avestruz","speak",false,"wrong","Valid",true,true
"spa-ENG","5e32a99...","avestruz","harvest",false,"wrong","Language impairment",true,false
"spa-ENG","5e3878b...","avestruz","straw",false,"wrong","Valid",true,true
"spa-ENG","5e52fa4...","avestruz","stroll",false,"wrong","Valid",true,true
"spa-ENG","5e60db5...","avestruz","trousers",false,"wrong","Valid",true,true
"spa-ENG","5e64212...","avestruz","straws",false,"wrong","Insufficient trials",true,false
"spa-ENG","5e6571b...","avestruz","truth",false,"wrong","Valid",true,true
"spa-ENG","5e71e92...","avestruz","stroll",false,"wrong","Valid",true,true
"spa-ENG","5e788a0...","avestruz","strong",false,"wrong","Valid",true,true
"spa-ENG","5e84efb...","avestruz","truth",false,"wrong","Valid",true,true
"spa-ENG","5e95bef...","avestruz","poodle",false,"wrong","Valid",true,true
"spa-ENG","5e96292...","avestruz","school",false,"wrong","Valid",true,true
