participant,language,word,translation,knowledge,confidence,response_type,comments
5a2461e...,Spanish,bici,busy,FALSE,0,wrong,
5a2461e...,Spanish,boca,table,FALSE,0,wrong,
5a2461e...,Spanish,esponja,spanish,FALSE,0,wrong,
5a2461e...,Spanish,moneda,monday,FALSE,0,false_friend,
5a2461e...,Spanish,brazo,lasso,FALSE,0,wrong,
5a2461e...,Spanish,cepillo,spy,FALSE,0,wrong,
5a2461e...,Spanish,cuchara,coach,FALSE,0,wrong,
5a2461e...,Spanish,dedo,dare,FALSE,0,wrong,
5a2461e...,Spanish,gallina,party,FALSE,0,wrong,
5a2461e...,Spanish,gorrion,boy,FALSE,0,wrong,
5a2461e...,Spanish,gorro,man,FALSE,0,wrong,
5a2461e...,Spanish,jirafa,raffle,FALSE,0,wrong,
5a2461e...,Spanish,ladrillo,drill,FALSE,0,wrong,
5a2461e...,Spanish,loro,lorry,FALSE,0,wrong,
5a2461e...,Spanish,mesa,mess,FALSE,0,false_friend,
5a2461e...,Spanish,nariz,mean,FALSE,0,wrong,
5a2461e...,Spanish,pierna,pier,FALSE,0,wrong,
5a2461e...,Spanish,platano,latino,FALSE,0,wrong,
5a2461e...,Spanish,camisa,camisole,FALSE,1,false_friend,revise
5a2461e...,Spanish,moto,more,FALSE,1,wrong,
5a2461e...,Spanish,tobogan,trombone,FALSE,1,wrong,
5a2461e...,Spanish,arbol,harbor,FALSE,1,wrong,
5a2461e...,Spanish,avestruz,cruise,FALSE,1,wrong,
5a2461e...,Spanish,biberon,drink,FALSE,1,wrong,
5a2461e...,Spanish,boli,bowling,FALSE,1,wrong,
5a2461e...,Spanish,buho,bull,FALSE,1,wrong,
5a2461e...,Spanish,calcetin,cart,FALSE,1,wrong,
5a2461e...,Spanish,camiseta,cassette,FALSE,1,wrong,
5a2461e...,Spanish,caracol,charcoal,FALSE,1,wrong,
5a2461e...,Spanish,cubo,koala,FALSE,1,wrong,
5a2461e...,Spanish,gusano,sweet,FALSE,1,wrong,
5a2461e...,Spanish,lapiz,lapis lazuli,FALSE,1,wrong,
5a2461e...,Spanish,lengua,jaguar,FALSE,1,wrong,
5a2461e...,Spanish,martillo,martini,FALSE,1,wrong,
5a2461e...,Spanish,muneca,plant,FALSE,1,wrong,
5a2461e...,Spanish,ombligo,omlette,FALSE,1,wrong,
5a2461e...,Spanish,osito,small,FALSE,1,wrong,
5a2461e...,Spanish,oveja,egg,FALSE,1,wrong,
5a2461e...,Spanish,pajaro,parrot,FALSE,1,wrong,
5a2461e...,Spanish,panal,bread,FALSE,1,wrong,
5a2461e...,Spanish,pato,part,FALSE,1,wrong,
5a2461e...,Spanish,pelota,parrot,FALSE,1,wrong,
5a2461e...,Spanish,pez,fish,FALSE,1,correct,
5a2461e...,Spanish,puerta,island,FALSE,1,wrong,
5a2461e...,Spanish,ventana,lunch box,FALSE,1,wrong,
5a2461e...,Spanish,zanahoria,sunrise,FALSE,1,wrong,
5a2461e...,Spanish,barco,bark,FALSE,2,false_friend,
5a2461e...,Spanish,bocadillo,book,FALSE,2,wrong,
5a2461e...,Spanish,botella,body,FALSE,2,wrong,
5a2461e...,Spanish,burro,walrus,FALSE,2,wrong,
5a2461e...,Spanish,caballo,car,FALSE,2,wrong,
5a2461e...,Spanish,cebra,cider,FALSE,2,wrong,
5a2461e...,Spanish,coche,coach,FALSE,2,wrong,
5a2461e...,Spanish,gafas,cats,FALSE,2,wrong,
5a2461e...,Spanish,galleta,balcony,FALSE,2,wrong,
5a2461e...,Spanish,grifo,greece,FALSE,2,wrong,
5a2461e...,Spanish,manzana,morning,FALSE,2,wrong,
5a2461e...,Spanish,mariposa,flower,FALSE,2,wrong,
5a2461e...,Spanish,tambor,tamborine,FALSE,2,false_friend,revise
5a2461e...,Spanish,tenedor,tennis,FALSE,2,wrong,
5a2461e...,Spanish,toro,turtle,FALSE,2,wrong,
5a2461e...,Spanish,bol,ball,FALSE,3,false_friend,
5a2461e...,Spanish,cerdo,third,FALSE,3,wrong,
5a2461e...,Spanish,chaqueta,jacket,FALSE,3,correct,
5a2461e...,Spanish,cielo,cello,FALSE,3,wrong,
5a2461e...,Spanish,frambuesa,flamboyant,FALSE,3,wrong,
5a2461e...,Spanish,globo,eye,FALSE,3,wrong,
5a2461e...,Spanish,plato,place,FALSE,3,wrong,
5a2461e...,Spanish,tijeras,glasses,FALSE,3,wrong,
5a2461e...,Spanish,flor,flour,FALSE,4,false_friend,
5a2461e...,Spanish,guitarra,guitar,FALSE,4,correct,
5a2461e...,Spanish,tren,train,FALSE,4,correct,
5a2461e...,Spanish,caja,house,FALSE,4,wrong,
5a2461e...,Spanish,cesta,festival,FALSE,4,wrong,
5a2461e...,Spanish,mono,monochrome,FALSE,4,wrong,
5a2461e...,Spanish,pinguino,penguin,FALSE,4,correct,
